"Gene","GSM466408","GSM466409","GSM466410","GSM466411","GSM466412","GSM466413","GSM466414","GSM466415","GSM466416","GSM466417","GSM466418","GSM466419"
"Nnat",3.84951210357086,3.84031039376138,3.82218363924759,3.85951028576526,3.84894194292762,3.83810072817624,3.85532443463251,3.83258904063667,3.84197748624217,3.83505739579912,3.82875738250053,3.85518452754494
"Atp5mc3",3.83694825647611,3.84041820194624,3.84016147611592,3.85924578857278,3.83412456133094,3.8281026366795,3.82590612613013,3.81723590738169,3.8577993971463,3.85529418455033,3.81998787259033,3.83416043657373
"Sod1",3.85186199639342,3.84548702504517,3.83380751634266,3.84738708073623,3.83284076528375,3.81952912837587,3.8501287440392,3.84058673637117,3.82758419266453,3.84394716537139,3.81308569742729,3.83371824577995
"Pmp22",3.82131685560569,3.91515494423864,3.86910820813226,3.78048120890758,3.86703691609336,3.78573403016625,3.8352673551019,3.79921978023131,3.80431602440597,3.83184860786873,3.83785271044121,3.86753192301454
"Apod",3.85317322828725,3.85775129879771,3.82760757606847,3.84581197638386,3.82308344567696,3.81291941436803,3.85194572217781,3.84824567385827,3.81781379015583,3.83652205045511,3.81162370664852,3.81821045607748
"Slc25a4",3.83919825418535,3.83951593891592,3.83396767531041,3.84819588556291,3.83422661619622,3.81133905591714,3.83516370294367,3.8318835418243,3.83287485009465,3.83777387771222,3.81365121302997,3.82244473322385
"Scd2",3.81010417157715,3.84755930184567,3.82930439205723,3.83400156962255,3.82290906671968,3.84137123965985,3.78741069227896,3.83846389728032,3.8139082546099,3.84172010799394,3.84229390282255,3.85139047502703
"Rps29",3.80012985270713,3.82706141896196,3.8245320575945,3.83896865878555,3.82021203115997,3.82413340840187,3.83987020311354,3.82214732621862,3.83489355130908,3.84681703304737,3.82351164550969,3.83764280518359
"Nefm",3.84956300937636,3.78589633549291,3.83424069390674,3.88687743029315,3.85475230090524,3.78809292513008,3.81559330464507,3.84296371508011,3.84539723875978,3.85987214115849,3.77981590290789,3.79469558377896
"Cox6c",3.8374314322305,3.83275144905408,3.84907711370287,3.8393847645392,3.82469103904148,3.81197316850035,3.82913601129973,3.82025000969403,3.84872447654974,3.8180678951279,3.80849617714422,3.81715388065318
"Syp",3.81929454351401,3.83156230418012,3.84404906022649,3.8227296493735,3.83353465963449,3.83499409401539,3.80325784425918,3.82239944434107,3.84016813755816,3.83236083276325,3.81129246438941,3.8257961983721
"Rtn1",3.82353795943148,3.82277264411863,3.8360168109035,3.83394392939388,3.80838795354919,3.82856576839517,3.8168762668836,3.8176225924391,3.84355639940589,3.83163532836675,3.81444168712001,3.83063383083296
"Nefl",3.84815140090263,3.79504869373993,3.83301066702095,3.87130024240588,3.83987991567993,3.79030910971098,3.81674531718548,3.83339413432642,3.83573874979022,3.85349705801341,3.78045912993334,3.80367851796339
"Pebp1",3.83817200693759,3.84376995166756,3.82551441702048,3.84783953200269,3.82003066923546,3.80798474559316,3.82281237615974,3.83393734740015,3.78464322140842,3.8364354109364,3.79873071215799,3.81799544323709
"Penk",3.82965329532945,3.84091586797181,3.81358338711686,3.80964933949577,3.83268843685599,3.82912035297029,3.82303822576946,3.78485357007142,3.84666751701606,3.80975928636924,3.81781203868829,3.83949321131703
"Tubb5",3.82587171858742,3.8223965684847,3.83241982651609,3.85021256946885,3.81910836337112,3.81198809676409,3.82795147216593,3.83617269950164,3.78450223975925,3.84262711616864,3.79882080159091,3.80290429343283
"Fth1",3.80081216172672,3.81039443700281,3.80427056145257,3.81064717060519,3.82282715190565,3.80960894490135,3.81583424644829,3.79383518926579,3.83531693460096,3.82764632470067,3.81660601076057,3.83056303653956
"Atp5f1b",3.84624725354731,3.82235870862685,3.80977359046219,3.82828907764422,3.80533336956297,3.8021122986133,3.81632145253433,3.82389924201648,3.78946137134385,3.82207756371626,3.79140848143285,3.81802821428251
"Atp5f1a",3.82460114045568,3.83692581246894,3.83089641421253,3.81342159038015,3.80757703465332,3.80805656690044,3.8166308157832,3.82715411106978,3.77798671658623,3.81480064834082,3.79960673926743,3.80882036274071
"Vamp1",3.81700632335545,3.80762075534581,3.82874126722256,3.84309629958067,3.81795507297484,3.79665813189791,3.80838431437685,3.80134606077043,3.81096775765046,3.83624003532996,3.79410153566628,3.80192421766323
"Gprasp1",3.81328903054593,3.82177276175293,3.83870862865852,3.81566776761186,3.80612410600772,3.81902730576892,3.81899828440471,3.77819474980334,3.8276882221267,3.79021189451738,3.80680754835524,3.81923031939404
"Dynll2",3.83202511086825,3.79353241595791,3.80154064441288,3.81730536607787,3.80980727715188,3.82843625936067,3.77323766460895,3.79043020477501,3.79737948791178,3.82360904527921,3.81603849550917,3.83003349782354
"Cnp",3.79435686281556,3.82708579786132,3.79795099130609,3.8259566143385,3.78813826788795,3.80192525928637,3.81002049271984,3.81690250760563,3.79063968432688,3.81393407647394,3.79668369338037,3.80734782295004
"Ppp3ca",3.81595484464958,3.80986208462549,3.80023105898848,3.82934174226763,3.81515053257088,3.80236766907488,3.81515053257088,3.77244612455428,3.80241584949244,3.81314984772532,3.77748429209907,3.81397011880521
"Ldhb",3.82679327776149,3.82684181139347,3.81794635023106,3.81961388830213,3.79131429025,3.79211610446897,3.82564198058973,3.80030312649073,3.77642005740901,3.81573182881508,3.76946349525765,3.80146895429026
"Prkar1a",3.81481143126769,3.80649944606484,3.80341184871341,3.81668871469425,3.80415931451171,3.79001196165031,3.81626248093177,3.80251104539559,3.81666581915689,3.79705619576543,3.78067170712834,3.80844487337609
"Rpl7a",3.81272221997757,3.82785697004582,3.7975223813547,3.77467662319553,3.78337960065305,3.78842009039027,3.83749097388511,3.8370488721288,3.75991565906229,3.82276349981355,3.79593595176781,3.80688897689276
"Ywhag",3.80614224573454,3.78328061387111,3.83156565532377,3.81309191541274,3.79231110803553,3.78628553949037,3.7980628642257,3.77570816356499,3.85446013117474,3.81575488056246,3.77875704430061,3.80009269859719
"Rpl3",3.8036468647076,3.80742027775408,3.78856978196443,3.79427123087197,3.79196900933079,3.78820720457155,3.8333186141683,3.80555971435202,3.79770117536681,3.8066121077101,3.78095256006287,3.80668313857877
"Kif1b",3.78798527919517,3.80244476999917,3.81688625731189,3.8166164156932,3.79871875820839,3.78582244745378,3.81147650844484,3.79501620098101,3.81829463079316,3.79376186899027,3.7834319449839,3.79133398425548
"Tspyl4",3.790962485012,3.8056652367778,3.80294034465324,3.81960263031756,3.81232782528524,3.80724403328579,3.78769882654447,3.78296570039359,3.79807388499329,3.81431719044452,3.77809954890782,3.7895016808844
"Cox4i1",3.81303957798362,3.81206328014951,3.81223001520419,3.79462717060593,3.78513988387426,3.78738302775165,3.82622143256743,3.79688682784101,3.77858806884275,3.81089288105304,3.77476806175158,3.79578769676247
"Atp6v0c",3.82496968295511,3.79999020136149,3.79583019830999,3.80391449869076,3.79220926755393,3.78888194450554,3.79287669284948,3.79523596676939,3.78530638188178,3.81165633814968,3.7848021230558,3.80500731662316
"Tsc22d1",3.78169093611806,3.79842139010703,3.82034293007076,3.81403427389651,3.80521545717998,3.79093233906068,3.7915495858146,3.77653345552709,3.80446293479938,3.79328752676179,3.77715731106056,3.79964093044452
"Ywhab",3.7736307106208,3.7947892519707,3.80714518738743,3.80063862709348,3.79992791499836,3.79196218511045,3.77641862239911,3.77010650930913,3.8019964137104,3.79696457304864,3.78863366617367,3.79854487411206
"Rps16",3.78342885732983,3.80723150658417,3.79263603459687,3.79425600064382,3.78320989573684,3.77823639217361,3.80823491194082,3.81719063584465,3.75826727136172,3.78928960783792,3.78138581924869,3.79954000187213
"Vsnl1",3.80125339375216,3.79640803901275,3.81876902873795,3.78832668228689,3.78013164637045,3.77654157851273,3.80863775450598,3.74706748550087,3.82288075234778,3.76663835501179,3.76394288983415,3.78320371004052
"Cltc",3.79222184518732,3.79244089898385,3.80857577757318,3.79260883654969,3.77371241423536,3.77355742912456,3.78072209974238,3.76452671635082,3.81704566791643,3.79539916014249,3.76962663321589,3.78882969525011
"Ncdn",3.80101165826506,3.8201664893051,3.82111042101558,3.77941168290127,3.77594038244452,3.77910136302909,3.80785729743819,3.78409148069295,3.76023929679189,3.78636163826821,3.75721418821858,3.77645187572845
"Rnd2",3.80408941003075,3.80256216771607,3.7807230413199,3.80908341579722,3.78505359738269,3.80114530955044,3.78222388499676,3.80978185660775,3.7343753509216,3.80054050065492,3.76066119833043,3.7749664938817
"Stmn3",3.80011468834487,3.78248649561496,3.79070888729956,3.79435085990642,3.78877345240719,3.78516056335844,3.80792969163772,3.76365205211498,3.78036005910658,3.79574014631509,3.75602165574744,3.7800909492027
"Stmn1",3.76087165107132,3.79839821837587,3.79981617314851,3.79598350303265,3.77295634726962,3.77584611119481,3.79035488128653,3.77925499088875,3.79619981912129,3.78428687030454,3.77442042671223,3.78622468936715
"Arf1",3.79380140425338,3.78489413939318,3.7826055160528,3.79548559273859,3.77605052206792,3.76807934252472,3.79704985846228,3.79541385462064,3.75605385452919,3.7808424812713,3.76829735457903,3.782938101423
"Slc25a5",3.78116927570311,3.77702104840122,3.79540339643188,3.79127932282874,3.78953209774838,3.77325796672963,3.78636747480282,3.7847614904342,3.79060829936203,3.77573241676874,3.75105651905295,3.77997463554746
"Atp1a3",3.80596788121696,3.77550057316863,3.76652606547645,3.8001021368716,3.79387788151345,3.77933527547497,3.81720557879196,3.75267880309247,3.76350068628935,3.77987030612819,3.7412792480111,3.77570869656052
"Pgam1",3.769694544538,3.77406785380326,3.79530444044589,3.80781233225785,3.78949984566928,3.77169888317633,3.76437756558524,3.7567330638224,3.78713726902692,3.78524080984274,3.77069449919811,3.77493586005768
"Bcas1",3.781003273458,3.77943695922869,3.78062687652386,3.8130100766556,3.77587507212822,3.76843770118872,3.77626230621582,3.75203918150061,3.80140394100484,3.80946998075186,3.74999997168518,3.75567787502489
"Cldn11",3.76182583162103,3.76760757621274,3.80076360680483,3.78027337390218,3.75931973766098,3.76732012832057,3.78787226900562,3.7572471083048,3.8301111620734,3.78009173051847,3.77473906066808,3.77563091926564
"Sparc",3.78422731177591,3.79213126982424,3.74622960803271,3.78168105248256,3.77076986367127,3.74995795769752,3.77649592770821,3.76353262085455,3.80196207557854,3.7985739677049,3.78117656356815,3.79116585861489
"Hspd1",3.77328043051753,3.7828777943729,3.78162624438646,3.80839016135046,3.77373786866632,3.75716971743601,3.79158486756742,3.7823670941882,3.77937899154171,3.77856081281523,3.75820769404336,3.7667571754472
"Slc25a3",3.77587611693119,3.78116931767796,3.80733055988515,3.78032568720558,3.76976406565681,3.76622448459157,3.78401342510117,3.78647703353094,3.77047718001001,3.77644751709603,3.76107714533433,3.76823396322096
"Atp5mk",3.7450104905767,3.77796586039656,3.78067017556672,3.80557595859776,3.79682536338675,3.77104731932019,3.75494735673608,3.75873865028835,3.80419355701088,3.78266660497342,3.75498583290638,3.77768267920478
"Ndrg1",3.74647781333732,3.81156141500895,3.78670117092378,3.78136763835791,3.79504587924721,3.77680316346608,3.76620166891583,3.75856426297087,3.75188678825749,3.7717022590509,3.78183197352724,3.77448306503756
"Nsf",3.76807899625267,3.79092255501473,3.81524173835664,3.77933619589323,3.76484807972282,3.76585865231962,3.75166439585783,3.74986572122414,3.80027675814744,3.77456238958904,3.76227825475542,3.77913907008617
"Slc6a9",3.77189917738345,3.75689880335785,3.72856376290159,3.82954611252856,3.78742170590865,3.79052230491741,3.79105335681343,3.79210974438687,3.73837339436682,3.78847642844772,3.7498688633214,3.77695613955662
"Dpysl2",3.77270977883193,3.7727225022853,3.79996677618743,3.79513765507145,3.75897074674311,3.75151637300351,3.78841444905031,3.749667253352,3.80541876947661,3.78259491847512,3.75794519573245,3.76649785762466
"Rps2",3.77765853555584,3.78761356320089,3.79597124586019,3.77320270263448,3.75255254066058,3.74785187804918,3.81511059818194,3.79254345503135,3.74443133871788,3.79547206061512,3.75964152897794,3.75903896224421
"Rasgrf1",3.77766265174415,3.78093584306953,3.78424168173422,3.78091944074842,3.78450973799402,3.79090201528576,3.77379827736797,3.7575891233461,3.77877397576006,3.764565924043,3.74796976780128,3.77667285797785
"Acot7",3.78765837362427,3.78336454524243,3.77718426530691,3.79659816206433,3.77474273932875,3.76927745008968,3.78144981462329,3.79669074030516,3.73969574994635,3.78176267174332,3.74109101801009,3.76688176104188
"Ndfip1",3.75492135487259,3.75911100833457,3.81246646515649,3.77833616935078,3.77433905629521,3.75918988803365,3.77798544088725,3.74781797717674,3.83634597964018,3.75422929073798,3.76643872100814,3.76946460184188
"Ywhae",3.77736137001262,3.76438186741051,3.77720901878448,3.7808995515819,3.76507716019927,3.75630493638085,3.78109760081582,3.75239184309421,3.82528462414924,3.76446040850116,3.74432033339869,3.77691970151016
"Laptm4a",3.78996095066459,3.76406607064081,3.75548196132141,3.77566884038155,3.7695523440757,3.75014889321867,3.76295470111672,3.7876369944601,3.76622785103423,3.79982619125787,3.77215361606968,3.76680443909305
"Hmgcs1",3.7834226924792,3.79216239985625,3.7760755793379,3.77481684389753,3.77959828421641,3.77061497859814,3.77020966610664,3.74871017839508,3.79341972918033,3.78112504297678,3.73006305600093,3.75305760756144
"Atp2a2",3.76670750418385,3.77587544286485,3.7664318268967,3.79893939426696,3.77275459541548,3.78702891737359,3.76279556411096,3.77471135973577,3.73896296999098,3.77328023953988,3.75625258927083,3.77034206220128
"Snhg11",3.76545178901308,3.79652747390191,3.75903623432545,3.78846629884784,3.78394897777568,3.79983073776392,3.76979331393669,3.71413351291784,3.76005896477676,3.76946489594347,3.76259431763592,3.77416244588817
"B2m",3.75957896939108,3.74685140388082,3.7167337986016,3.80042793024808,3.73989040241614,3.72628926776282,3.80382718640516,3.77606872375252,3.78965396743539,3.8085342954534,3.77519355300106,3.79491082599176
"Sptbn1",3.77788275235913,3.7628339792716,3.7947212257976,3.77419037352626,3.75855124348512,3.76457146833974,3.7786670912763,3.74526056568025,3.78781915275648,3.78956487492087,3.75670638008872,3.74697831881693
"Plekhb1",3.76191261991536,3.80005124423567,3.76448332073329,3.79527774469248,3.76447396288788,3.74392982055524,3.77677944612028,3.75818876129174,3.75725828421253,3.78528816243541,3.73167323577417,3.76315116894948
"Ndrg2",3.79358513709201,3.75942246906856,3.78249713382853,3.76823128122155,3.75753483341073,3.74379845228379,3.77966261629486,3.74934528047598,3.79216239985625,3.78020685130385,3.73201622805007,3.75149971310847
"Grina",3.77255369681729,3.77835848586492,3.77586463774902,3.78220695622709,3.75636836297566,3.75611861724342,3.77547418690085,3.77565809797489,3.72924183045718,3.77767714824943,3.75077034217227,3.75841514583739
"Gja1",3.74931901009227,3.74756769303975,3.78126265518064,3.77513235019461,3.7633161792152,3.7537247665529,3.74427887174003,3.75656988732955,3.80081087085609,3.78246138379389,3.76161797515893,3.76968726507789
"Clu",3.75892662952876,3.78253943953024,3.75476892165057,3.75072180007315,3.72797537065745,3.74304482750242,3.78610336208762,3.80677956154958,3.73337706667829,3.78592750098809,3.75917042369932,3.79380821145767
"Rpl27a",3.75773189134664,3.77193025489946,3.74497818748696,3.78318727270473,3.75954003604417,3.74811780387558,3.78598357563784,3.76754313758231,3.76380388530701,3.77561686147492,3.74992381781776,3.77084899630597
"Plekhb2",3.75314487248873,3.77383453909416,3.78278226575589,3.76620733840849,3.75833265335494,3.75453690176955,3.72389775260442,3.76496988221384,3.77852206142038,3.7686031982491,3.75907736141578,3.77818891376077
"Tmbim6",3.77205578431049,3.77950899506779,3.75144649827476,3.78082496319085,3.74862718920679,3.75843034234452,3.75854344602112,3.77540512688855,3.74217208106989,3.77631620132965,3.74541519438289,3.759086624333
"Stxbp1",3.76075066964122,3.76732527215093,3.7900702003508,3.77692505434654,3.76356630849456,3.76159385368026,3.74741889474892,3.75247989868412,3.76893468151346,3.7543523201435,3.74445954968814,3.75875991845185
"Prkacb",3.73078704245333,3.75367501675715,3.76649018992093,3.78997420082394,3.78028003838353,3.77674647611994,3.72043497164215,3.75827699792842,3.77138191610879,3.77840920536513,3.74999291278597,3.76848061914556
"Cfl1",3.78729146365061,3.77103120681738,3.75949782812662,3.7861820513428,3.74233951794116,3.7295368338334,3.78296932355119,3.79547622395932,3.71917243016806,3.79247619746984,3.71279989580055,3.73888816443589
"Ywhaz",3.76489208309523,3.76275072298789,3.76869475580223,3.76721230284597,3.76583089913444,3.74898665186544,3.76580299693025,3.75271142547738,3.752248151653,3.76818663202829,3.74591228879516,3.75352875857263
"Morf4l1",3.76170947291849,3.76621669349982,3.76468656474118,3.76492175611817,3.74930773174623,3.74670815043674,3.75551937961065,3.76398232897112,3.78037237928497,3.76753355485631,3.73345769787557,3.76072806418645
"Eef1a2",3.80852763872239,3.78947681920718,3.75190592811278,3.76724413628784,3.74746425146376,3.73638672398083,3.78473579115999,3.77541555194894,3.71410052310098,3.78275528696592,3.70869689418755,3.74395086666681
"Nap1l5",3.76398428932445,3.75182453404978,3.7893466559241,3.74773510418835,3.75551157642479,3.7625687221672,3.76111092547313,3.70856022105446,3.80138118240325,3.74024211736861,3.7527929139996,3.77059736654271
"Pygb",3.76014951904956,3.77241911225457,3.77422561946897,3.77869869609454,3.74965224097562,3.75903795952154,3.75749091761338,3.74134921776909,3.75211766288625,3.78335175289207,3.73640888600494,3.72876629221741
"Ckb",3.76789397767136,3.75305310705312,3.75012545090995,3.76830038055707,3.76841601834822,3.7574203171457,3.77312130149355,3.76547504937736,3.7273676527416,3.77200073393542,3.73645216667483,3.75176591527171
"Sub1",3.74320611488481,3.76599377707998,3.76285756139042,3.75792472176525,3.75544012911228,3.75018683069611,3.76182684304325,3.73595949996796,3.75896495176678,3.75806864016442,3.75247698278112,3.76179048351119
"Rpl26",3.76643489071471,3.76173168116679,3.75272073256849,3.75491273307611,3.73842173759683,3.72561585468865,3.79211129509557,3.74385064156874,3.7709589651759,3.77048958593173,3.73052918637539,3.75461551248097
